external_gene_name	entrezgene_id
SLC25A26	115286
RNU6-58P	100873766
SACS-AS1	100506680
LINC00327	100506697
GPC6-AS1	100873972
SOX21-AS1	100507533
CLDN10-AS1	100874194
RP11-309I15.1	221178
DNAJC3-AS1	100289274
MIR2276	100313842
SPATA13-AS1	100874231
LINC00359	100887754
MIR3170	100422881
DOCK9-AS1	100874096
BTC	685
RNU6-83P	100873782
RNU6-78P	100873778
DOCK9-AS2	100861541
GAST	2520
UBAC2-AS1	100289373
MIR623	693208
MIR4306	100422861
CLYBL-AS2	100874063
CLYBL-AS1	101927465
USP12-AS2	100874071
SNORD102	26771
LINC00554	100861542
SNORA27	619499
RNU6-63P	100873768
HAP1	9001
PCCA-AS1	100885777
PDX1-AS1	100861550
PAN3-AS1	100288730
RNU6-82P	100873781
NALCN-AS1	100885778
RNU6-53P	100873762
MIR2681	100616110
MTUS2-AS1	100874107
MIR4705	100616239
LINC00297	100874059
FGF14-IT1	283480
LINC00572	100861573
FGF14-AS1	100874081
LINC00544	440131
FGF14-AS2	283481
LINC00384	101928980
RNU6-64P	100873769
METTL21EP	121952
LINC00427	100507040
RP11-123H22.1	101930454
DAOA-AS1	282706
LINC00426	100188949
LINC00343	144920
JUP	3728
LINC00460	728192
LINC00551	283483
LINC00443	100874173
LINC00398	100874158
TEX26-AS1	100507064
MIR1267	100302286
FAM155A-IT1	100874375
LINC00545	440132
MYO16-AS1	100885782
LEPREL4	10609
MIR548X	100422920
LINC00676	101409253
COL4A2-AS2	100129836
FRY-AS1	100507099
COL4A2-AS1	100874203
LINC00368	101927802
LINC00423	100874167
FKBP10	60681
LINC00354	101928616
LINC00320	387486
LINC00403	100505996
LINC01070	101928698
LINC01043	101928752
ATP11A-AS1	100874205
LINC00317	378828
STARD13-AS	100874241
AP000475.2	101927821
GRTP1-AS1	101930262
AP000472.2	101927843
LINC00552	100130386
GAS6-AS2	100506394
LINC00308	54143
NT5C3B	115024
MIR320C2	100302195
